        NN     FT     ST      E       DCG
No.1: 0.000	 0.131	 0.232	 0.000	 0.621
No.2: 0.000	 0.121	 0.204	 0.017	 0.629
No.3: 0.000	 0.115	 0.191	 0.012	 0.622
No.4: 0.000	 0.064	 0.134	 0.006	 0.593
No.5: 0.000	 0.150	 0.220	 0.023	 0.627
No.6: 0.000	 0.092	 0.207	 0.000	 0.623
No.7: 0.000	 0.207	 0.293	 0.069	 0.702
No.8: 1.000	 0.188	 0.296	 0.087	 0.730
No.9: 0.000	 0.229	 0.350	 0.075	 0.695
No.10: 0.000	 0.226	 0.318	 0.087	 0.710
No.11: 0.000	 0.096	 0.201	 0.017	 0.623
No.12: 0.000	 0.092	 0.194	 0.000	 0.606
No.13: 0.000	 0.143	 0.217	 0.075	 0.665
No.14: 0.000	 0.096	 0.178	 0.000	 0.600
No.15: 0.000	 0.061	 0.124	 0.000	 0.589
No.16: 0.000	 0.035	 0.108	 0.000	 0.590
No.17: 0.000	 0.194	 0.283	 0.081	 0.692
No.18: 1.000	 0.328	 0.411	 0.168	 0.815
No.19: 0.000	 0.096	 0.178	 0.006	 0.606
No.20: 0.000	 0.118	 0.210	 0.017	 0.634
No.21: 0.000	 0.258	 0.376	 0.116	 0.750
No.22: 0.000	 0.003	 0.041	 0.000	 0.542
No.23: 0.000	 0.156	 0.271	 0.058	 0.665
No.24: 1.000	 0.264	 0.363	 0.162	 0.793
No.25: 0.000	 0.131	 0.207	 0.012	 0.636
No.26: 0.000	 0.197	 0.290	 0.023	 0.652
No.27: 0.000	 0.000	 0.035	 0.000	 0.546
No.28: 0.000	 0.185	 0.303	 0.046	 0.667
No.29: 1.000	 0.271	 0.382	 0.121	 0.784
No.30: 0.000	 0.108	 0.185	 0.000	 0.609
No.31: 0.000	 0.096	 0.156	 0.000	 0.599
No.32: 1.000	 0.242	 0.354	 0.139	 0.782
No.33: 1.000	 0.236	 0.338	 0.116	 0.762
No.34: 0.000	 0.153	 0.268	 0.035	 0.660
No.35: 0.000	 0.146	 0.236	 0.052	 0.656
No.36: 0.000	 0.102	 0.207	 0.000	 0.611
No.37: 0.000	 0.127	 0.232	 0.029	 0.642
No.38: 0.000	 0.213	 0.331	 0.029	 0.672
No.39: 0.000	 0.076	 0.172	 0.000	 0.616
No.40: 0.000	 0.166	 0.280	 0.046	 0.669
No.41: 0.000	 0.252	 0.363	 0.110	 0.734
No.42: 0.000	 0.143	 0.248	 0.017	 0.653
No.43: 1.000	 0.328	 0.449	 0.162	 0.809
No.44: 0.000	 0.143	 0.245	 0.012	 0.629
No.45: 0.000	 0.140	 0.274	 0.035	 0.651
No.46: 1.000	 0.248	 0.363	 0.116	 0.764
No.47: 0.000	 0.083	 0.150	 0.000	 0.603
No.48: 0.000	 0.108	 0.210	 0.035	 0.642
No.49: 1.000	 0.293	 0.382	 0.156	 0.796
No.50: 0.000	 0.137	 0.239	 0.012	 0.629
No.51: 0.000	 0.057	 0.178	 0.006	 0.609
No.52: 0.000	 0.172	 0.283	 0.046	 0.663
No.53: 0.000	 0.178	 0.261	 0.000	 0.642
No.54: 0.000	 0.096	 0.185	 0.000	 0.605
No.55: 0.000	 0.124	 0.220	 0.017	 0.636
No.56: 0.000	 0.061	 0.137	 0.006	 0.596
No.57: 0.000	 0.025	 0.108	 0.000	 0.596
No.58: 0.000	 0.312	 0.424	 0.127	 0.766
No.59: 0.000	 0.073	 0.150	 0.000	 0.593
No.60: 0.000	 0.054	 0.111	 0.000	 0.585
No.61: 0.000	 0.153	 0.255	 0.058	 0.669
No.62: 0.000	 0.226	 0.350	 0.069	 0.706
No.63: 0.000	 0.121	 0.223	 0.012	 0.626
No.64: 0.000	 0.032	 0.086	 0.000	 0.561
No.65: 0.000	 0.185	 0.271	 0.052	 0.680
No.66: 0.000	 0.220	 0.315	 0.064	 0.691
No.67: 0.000	 0.134	 0.226	 0.012	 0.620
No.68: 0.000	 0.111	 0.182	 0.000	 0.611
No.69: 0.000	 0.201	 0.312	 0.069	 0.691
No.70: 0.000	 0.140	 0.242	 0.058	 0.654
No.71: 0.000	 0.067	 0.166	 0.006	 0.608
No.72: 0.000	 0.057	 0.131	 0.000	 0.600
No.73: 0.000	 0.115	 0.217	 0.017	 0.631
No.74: 0.000	 0.229	 0.357	 0.058	 0.691
No.75: 0.000	 0.156	 0.277	 0.017	 0.640
No.76: 0.000	 0.182	 0.318	 0.052	 0.678
No.77: 1.000	 0.248	 0.363	 0.116	 0.764
No.78: 0.000	 0.025	 0.083	 0.000	 0.569
No.79: 0.000	 0.041	 0.089	 0.000	 0.582
No.80: 0.000	 0.134	 0.274	 0.052	 0.651
No.81: 0.000	 0.000	 0.000	 0.000	 0.111
No.82: 0.000	 0.000	 0.000	 0.000	 0.099
No.83: 0.000	 0.000	 0.000	 0.000	 0.118
No.84: 0.000	 0.000	 0.000	 0.000	 0.093
No.85: 0.000	 0.000	 0.000	 0.000	 0.081
No.86: 0.000	 0.000	 0.000	 0.000	 0.106
No.87: 0.000	 0.000	 0.000	 0.000	 0.108
No.88: 0.000	 0.000	 0.000	 0.000	 0.086
No.89: 0.000	 0.000	 0.000	 0.000	 0.111
No.90: 0.000	 0.000	 0.000	 0.000	 0.137
No.91: 0.000	 0.000	 0.000	 0.000	 0.097
No.92: 0.000	 0.000	 0.000	 0.000	 0.125
No.93: 0.000	 0.000	 0.000	 0.000	 0.119
No.94: 0.000	 0.000	 0.000	 0.000	 0.092
No.95: 0.000	 0.000	 0.000	 0.000	 0.092
No.96: 0.000	 0.000	 0.000	 0.000	 0.092
No.97: 0.000	 0.000	 0.000	 0.000	 0.095
No.98: 0.000	 0.000	 0.000	 0.059	 0.261
No.99: 0.000	 0.000	 0.000	 0.000	 0.095
No.100: 0.000	 0.000	 0.000	 0.000	 0.116
No.101: 0.000	 0.000	 0.000	 0.000	 0.127
No.102: 0.000	 0.000	 0.000	 0.118	 0.272
No.103: 0.000	 0.000	 0.000	 0.000	 0.134
No.104: 0.000	 0.000	 0.000	 0.000	 0.117
No.105: 0.000	 0.000	 0.000	 0.000	 0.109
No.106: 0.000	 0.000	 0.000	 0.000	 0.108
No.107: 0.000	 0.000	 0.000	 0.000	 0.086
No.108: 0.000	 0.000	 0.000	 0.000	 0.132
No.109: 0.000	 0.000	 0.000	 0.000	 0.084
No.110: 0.000	 0.000	 0.000	 0.000	 0.112
No.111: 0.000	 0.000	 0.000	 0.000	 0.096
No.112: 0.000	 0.000	 0.000	 0.000	 0.098
No.113: 0.000	 0.000	 0.000	 0.000	 0.117
No.114: 0.000	 0.000	 0.000	 0.000	 0.103
No.115: 0.000	 0.000	 0.000	 0.000	 0.087
No.116: 0.000	 0.000	 0.000	 0.000	 0.087
No.117: 0.000	 0.000	 0.000	 0.000	 0.100
No.118: 0.000	 0.000	 0.000	 0.000	 0.100
No.119: 0.000	 0.000	 0.000	 0.000	 0.097
No.120: 0.000	 0.000	 0.000	 0.000	 0.105
No.121: 0.000	 0.000	 0.000	 0.000	 0.110
No.122: 0.000	 0.000	 0.000	 0.000	 0.130
No.123: 0.000	 0.000	 0.000	 0.000	 0.113
No.124: 0.000	 0.000	 0.000	 0.000	 0.142
No.125: 0.000	 0.000	 0.000	 0.000	 0.080
No.126: 0.000	 0.000	 0.000	 0.000	 0.121
No.127: 0.000	 0.000	 0.000	 0.000	 0.145
No.128: 0.000	 0.000	 0.000	 0.000	 0.104
No.129: 0.000	 0.000	 0.000	 0.000	 0.118
No.130: 0.000	 0.000	 0.000	 0.000	 0.091
No.131: 0.000	 0.000	 0.000	 0.000	 0.092
No.132: 0.000	 0.000	 0.000	 0.000	 0.084
No.133: 0.000	 0.000	 0.000	 0.000	 0.105
No.134: 0.000	 0.000	 0.000	 0.000	 0.114
No.135: 0.000	 0.000	 0.000	 0.000	 0.079
No.136: 0.000	 0.000	 0.000	 0.000	 0.094
No.137: 0.000	 0.000	 0.000	 0.000	 0.109
No.138: 0.000	 0.000	 0.000	 0.000	 0.106
No.139: 0.000	 0.000	 0.000	 0.000	 0.117
No.140: 0.000	 0.000	 0.000	 0.000	 0.081
No.141: 0.000	 0.000	 0.000	 0.000	 0.085
No.142: 0.000	 0.000	 0.000	 0.000	 0.104
No.143: 0.000	 0.000	 0.000	 0.000	 0.101
No.144: 0.000	 0.000	 0.000	 0.000	 0.112
No.145: 0.000	 0.000	 0.000	 0.000	 0.106
